Accession,Length,Host
NC_025113,14851,Papio anubis
NC_025114,7998,Homo sapiens
NC_025115,40002,Ralstonia solanacearum
NC_024906,17656,Rosa multiflora
NC_024908,2367,Tadarida brasiliensis
NC_024779,2733,Lablab purpureus
NC_024889,9355,Equus caballus
NC_024890,2169,Phoca vitulina
NC_024891,2149,Phoca vitulina
NC_024893,7589,Apodemus sylvaticus
NC_024894,2737,Momordica charantia
NC_024895,2716,Momordica charantia
NC_024887,11550,Aedes vittatus
NC_024888,4733,Homo sapiens
NC_024805,10365,Culicidae
NC_024806,10320,Culicidae
NC_024807,521,Nicotiana tabacum
NC_024808,4236,Nicotiana benthamiana
NC_024810,2749,Coccinia grandis
NC_024782,36838,Pseudomonas aeruginosa PA14
NC_024783,44332,Escherichia coli
NC_024784,46440,Escherichia coli
NC_024785,44844,Acinetobacter baumannii
NC_024786,71248,Escherichia
NC_024787,132541,Listeria monocytogenes
NC_024788,162816,Bacillus
NC_024789,45746,Escherichia coli
NC_024790,71778,Escherichia coli
NC_024791,50440,Vibrio cholerae
NC_024792,160281,Bacillus pumilus
NC_024793,46847,Escherichia coli
NC_024794,167318,Escherichia coli
NC_024781,19114,Homo sapiens
NC_024778,8884,Elapsoidea loveridgei
NC_024765,8287,Gallus gallus
NC_024766,7310,Gallus gallus
NC_024767,7167,Gallus gallus
NC_024768,9564,Gallus gallus
NC_024769,9591,Gallus gallus
NC_024770,8432,Gallus gallus
NC_024771,151601,Equus caballus
NC_024772,2590,Sus scrofa
NC_024773,2601,Sus scrofa
NC_024774,2564,Sus scrofa
NC_024775,2477,Sus scrofa
NC_024776,2603,Sus scrofa
NC_024777,687,Sida acuta
NC_024709,33452,Python regius
NC_024710,1437,Abelmoschus esculentus
NC_024711,97065,bacterium
NC_024692,119638,Penaeus monodon
NC_024696,180800,Elephas maximus
NC_024701,6598,Felis catus
NC_024702,11367,Heterodera glycines
NC_024703,3415,Alternaria longipes
NC_024704,2434,Cladosporium cladosporioides
NC_024705,2241,Cladosporium cladosporioides
NC_024706,2008,Cladosporium cladosporioides
NC_024707,1261,Cladosporium cladosporioides
NC_024708,942,Cladosporium cladosporioides
NC_024684,32965,Heloderma horridum
NC_024685,9760,Diaporthe longicolla
NC_024686,6835,Prunus domestica
NC_024687,2741,Rosa
NC_024693,2831,Ipomoea batatas
NC_024694,2836,Homo sapiens
NC_024695,1349,Rosa
NC_024697,370920,Aureococcus anophagefferens
NC_024625,151109,Peridroma
NC_024476,1934,Vaccinium
NC_024485,6286,Rosellinia necatrix
NC_024486,43734,Cairina moschata
NC_024487,12276,Drosophila subobscura
NC_024488,12265,Drosophila immigrans
NC_024490,1406,Mirabilis jalapa
NC_024491,2778,Mirabilis jalapa
NC_024492,3105,Solea senegalensis
NC_024493,1421,Solea senegalensis
NC_024494,3427,Homo sapiens
NC_024495,6368,Homo sapiens
NC_024496,1772,Homo sapiens
NC_024498,6530,Bos taurus
NC_024499,1103,Aves
NC_024500,887,Aves
NC_024501,5519,Gentiana triflora
NC_024502,3869,Gentiana triflora
NC_024503,3933,Aves
NC_024504,2791,Aves
NC_024505,2411,Aves
NC_024506,2047,Aves
NC_024507,2021,Aves
NC_024508,1681,Aves
NC_024509,1357,Aves
NC_024510,1171,Aves
NC_024471,9292,Trisetum flavescens
NC_024472,6577,Homo sapiens
NC_024473,11123,Bos taurus
NC_024474,45480,Columbidae
NC_024458,6677,Hylocereus
NC_024457,991,Vicia faba
NC_024453,5153,Sus scrofa
NC_024455,13954,Ilex paraguariensis
NC_024446,306862,Spheniscus demersus
NC_024447,282356,Columba livia
NC_024449,8431,Prunus avium
NC_024450,204054,Falco mexicanus
NC_024354,149162,Cronobacter sakazakii
NC_024356,42597,Enterococcus faecium
NC_024358,41750,Trichormus variabilis
NC_024359,133048,Listeria monocytogenes
NC_024362,40472,Pseudomonas syringae pv. actinidiae
NC_024363,68807,Mycolicibacterium smegmatis MC2 155
NC_024366,62661,Mycolicibacterium smegmatis MC2 155
NC_024367,75028,Dinoroseobacter shibae
NC_024368,50610,Mycolicibacterium smegmatis MC2 155
NC_024369,41569,Vibrio cholerae
NC_024371,68386,Mycolicibacterium smegmatis MC2 155
NC_024375,67150,Listeria monocytogenes
NC_024376,11840,Ornithodoros coriaceus
NC_024377,9525,Piliocolobus tephrosceles
NC_024378,28015,Leuconostoc mesenteroides
NC_024379,39093,Escherichia coli O153
NC_024380,25740,Leuconostoc pseudomesenteroides
NC_024381,43056,Pseudomonas aeruginosa
NC_024382,137090,Damaliscus lunatus jimela
NC_024383,135831,Listeria monocytogenes
NC_024384,41156,Listeria monocytogenes
NC_024385,28193,Leuconostoc pseudomesenteroides
NC_024386,28427,Leuconostoc mesenteroides
NC_024387,43767,Listeria monocytogenes
NC_024388,28022,Leuconostoc mesenteroides
NC_024389,28336,Leuconostoc mesenteroides
NC_024390,26752,Leuconostoc pseudomesenteroides
NC_024391,41941,Staphylococcus aureus
NC_024392,66676,Listeria monocytogenes
NC_024443,3368,Hipposideros cf. ruber
NC_024444,3377,Rhinolophus alcyone
NC_024445,3149,Uroderma bilobatum
NC_024330,37380,Pseudomonas aeruginosa
NC_024357,39360,Streptococcus pneumoniae
NC_024360,138036,Listeria monocytogenes
NC_024361,38392,Streptococcus pneumoniae
NC_024364,131952,Listeria monocytogenes
NC_024365,51090,Pseudomonas syringae
NC_024370,39965,Streptococcus pneumoniae
NC_024372,1374,Abelmoschus esculentus
NC_024373,1353,Abelmoschus esculentus
NC_024306,149459,Pteropus sp.
NC_024296,8914,Serinus canaria
NC_024297,6233,Bos taurus
NC_024298,5534,Sclerotinia sclerotiorum
NC_024299,10878,Culex
NC_024300,8132,Fulmarus glacialis
NC_024301,7424,Styphnolobium japonicum
NC_024303,144898,Bos taurus
NC_024304,2602,Solanum
NC_024305,2594,Solanum
NC_023558,38966,Cronobacter turicensis
NC_024203,53513,Lactococcus lactis
NC_024204,42764,Salmonella enterica subsp. enterica serovar Enteritidis
NC_024205,159837,Bacillus
NC_024207,159656,Bacillus
NC_024208,54173,Lactococcus lactis
NC_024209,67383,Mycolicibacterium smegmatis MC2 155
NC_024210,47112,Escherichia
NC_024211,158750,Bacillus
NC_024212,55726,Enterococcus faecalis
NC_024213,158100,Bacillus
NC_024214,55584,Lactococcus lactis
NC_024215,54452,Lactococcus lactis
NC_024216,160541,Bacillus thuringiensis
NC_024217,82438,Nitrincola
NC_024151,5327,Beauveria bassiana
NC_024134,139020,Escherichia coli O157:H7
NC_024135,42392,Mycolicibacterium smegmatis MC2 155
NC_024136,51781,Mycolicibacterium smegmatis MC2 155
NC_024137,152778,Bacillus cereus
NC_024138,65243,Mycolicibacterium smegmatis MC2 155
NC_024139,108483,Escherichia coli O157:H7
NC_024140,72028,Pseudomonas aeruginosa
NC_024141,51378,Mycolicibacterium smegmatis MC2 155
NC_024142,72583,Escherichia coli
NC_024143,53255,Mycolicibacterium smegmatis MC2 155
NC_024144,54279,Clostridium
NC_024145,70667,Mycobacterium
NC_024146,56702,Escherichia coli
NC_024147,57315,Mycolicibacterium smegmatis MC2 155
NC_024148,50101,Mycolicibacterium smegmatis MC2 155
NC_024149,18899,Lactococcus garvieae
NC_024120,9700,Anas platyrhynchos
NC_024121,167266,Serratia marcescens
NC_024122,162910,Salmonella
NC_024123,64113,Pseudomonas aeruginosa
NC_024124,169148,Escherichia
NC_024125,168470,Escherichia coli
NC_024115,5193,Leishmania aethiopica
NC_024116,2753,Solanum lycopersicum
NC_024118,5108,Homo sapiens
NC_024119,2589,Sus scrofa
NC_024111,2794,Rhipicephalus microplus
NC_024112,2847,Rhipicephalus microplus
NC_024113,3114,Rhipicephalus microplus
NC_024114,2824,Rhipicephalus microplus
NC_024077,19199,Heterodera glycines
NC_024078,8013,Anatidae
NC_024074,4481,Culex
NC_024075,983,Culex
NC_024076,6926,Culex
NC_024073,7376,Mandrillus sphinx
NC_024070,8931,Homo sapiens
NC_024071,9578,Culex quinquefasciatus
NC_024031,7443,Salmo salar
NC_024018,12273,Antilocapra americana
NC_024016,9910,Heliconius erato
NC_024017,10891,Culex chidesteri
NC_024009,2772,Allamanda cathartica
NC_024010,1433,Cajanus cajan
NC_024011,1491,Cajanus cajan
NC_024012,2610,Jatropha gossypiifolia
NC_024013,2588,Jatropha gossypiifolia
NC_024014,1714,Cajanus cajan
NC_023984,7802,Homo sapiens
NC_023985,8976,Anas platyrhynchos
NC_023986,19917,Coquillettidia xanthogaster
NC_023987,8398,Coracias garrulus
NC_023988,7204,Indotestudo forstenii
NC_023989,2830,Saccharum officinarum
NC_022768,154701,Salmonella enterica subsp. enterica serovar Typhimurium
NC_022774,80382,Bacillus megaterium
NC_022980,45798,Brevibacillus laterosporus
NC_023682,3599,Anopheles
NC_023741,69641,Mycolicibacterium smegmatis MC2 155
NC_023742,68711,Mycolicibacterium smegmatis MC2 155
NC_023744,60588,Mycobacterium tuberculosis
NC_023746,57387,Mycolicibacterium smegmatis MC2 155
NC_023747,59672,Mycolicibacterium smegmatis MC2 155
NC_023748,53137,Mycolicibacterium smegmatis MC2 155
NC_023983,7475,Diospyros kaki
NC_023680,13023,Fusarium graminearum
NC_023683,1958,Anopheles
NC_023866,1784,Erythrodiplax umbrata
NC_023868,1711,Erythemis simplicicollis
NC_023869,1896,Pantala flavescens
NC_023870,2208,Pantala flavescens
NC_023871,2236,Erythemis simplicicollis
NC_023872,2225,Miathyria marcella
NC_023878,3062,Sus scrofa
NC_023886,1741,Tholymis tillarga
NC_023891,7314,Homo sapiens
NC_023892,8659,Nicotiana benthamiana
NC_023893,10513,Sclerotinia sclerotiorum
NC_023894,7637,Pygoscelis adeliae
NC_023895,7256,Rupicapra rupicapra
NC_023896,1344,Malvastrum coromandelianum
NC_023873,8194,Enhydra lutris nereis
NC_023874,1790,Homo sapiens
NC_023875,1030,Pisum sativum
NC_023876,1379,Andrographis paniculata
NC_023877,2980,Sus scrofa
NC_023879,2925,Arctocephalus forsteri
NC_023880,995,Lens culinaris
NC_023881,1001,Lens culinaris
NC_023882,7467,Equus asinus
NC_023883,2308,Cyanoramphus auriceps
NC_023884,2087,Cyanoramphus auriceps
NC_023885,1753,Mustela lutreola
NC_023887,2479,Meleagris gallopavo
NC_023888,2526,Homo sapiens
NC_023865,55098,Pectobacterium carotovorum subsp. carotovorum
NC_023848,163023,Anopheles minimus
NC_023856,152460,Salmonella
NC_023858,9739,Meleagris gallopavo
NC_023859,59254,Microbacterium oxydans
NC_023860,6148,Sus scrofa
NC_023861,9276,Gallus gallus
NC_023862,52136,Mycolicibacterium smegmatis MC2 155
NC_023863,66316,Vibrio anguillarum
NC_023864,2858,Axonopus compressus
NC_023842,5006,Danaus plexippus
NC_023844,2220,Manihot esculenta
NC_023845,5016,Procyon lotor
NC_023849,2723,Pouzolzia zeylanica
NC_023852,8228,Canis lupus familiaris
NC_023853,2067,Pantala flavescens
NC_023854,1915,Diplacodes bipunctata
NC_023855,1831,Pantala flavescens
NC_023765,6935,Boa constrictor
NC_023766,3399,Boa constrictor
NC_023812,11624,Sapajus apella
NC_023813,3970,Atheris squamigera
NC_023814,3901,Atheris squamigera
NC_023815,2348,Atheris squamigera
NC_023816,2487,Atheris squamigera
NC_023817,1281,Atheris squamigera
NC_023818,1211,Atheris squamigera
NC_023819,3847,Atheris squamigera
NC_023820,2130,Atheris squamigera
NC_023821,1314,Atheris squamigera
NC_023822,1554,Atheris squamigera
NC_023760,28941,Neovison vison
NC_023761,3351,Boa constrictor
NC_023762,6932,Boa constrictor
NC_023763,7198,Myotomys unisulcatus
NC_023764,3364,Myotomys unisulcatus
NC_023681,152710,Mamestra brassicae
NC_023684,2020,Rhizoctonia solani AG-1 IA
NC_023685,1810,Rhizoctonia solani AG-1 IA
NC_023686,67949,Mycolicibacterium smegmatis MC2 155
NC_023687,53003,Mycolicibacterium smegmatis MC2 155
NC_023688,222006,Aeromonas salmonicida
NC_023689,76260,Mycolicibacterium smegmatis MC2 155
NC_023690,110569,Mycolicibacterium smegmatis MC2 155
NC_023691,70506,Mycolicibacterium smegmatis MC2 155
NC_023692,48984,Mycolicibacterium smegmatis MC2 155
NC_023694,78064,Rhodococcus hoagii
NC_023695,52481,Mycolicibacterium smegmatis MC2 155
NC_023696,157568,Mycolicibacterium smegmatis MC2 155
NC_023697,48420,Mycolicibacterium smegmatis MC2 155
NC_023698,54470,Mycolicibacterium smegmatis MC2 155
NC_023699,59016,Mycolicibacterium smegmatis MC2 155
NC_023700,34553,Pseudomonas aeruginosa
NC_023701,69864,Mycolicibacterium smegmatis MC2 155
NC_023702,52379,Mycolicibacterium smegmatis MC2 155
NC_023703,64613,Mycolicibacterium smegmatis MC2 155
NC_023704,51421,Mycolicibacterium smegmatis MC2 155
NC_023705,41650,Mycolicibacterium smegmatis MC2 155
NC_023706,75772,Rhodococcus hoagii
NC_023707,53169,Mycolicibacterium smegmatis MC2 155
NC_023708,51083,Mycolicibacterium smegmatis MC2 155
NC_023709,51308,Mycolicibacterium smegmatis MC2 155
NC_023710,50844,Mycolicibacterium smegmatis MC2 155
NC_023711,68720,Mycolicibacterium smegmatis MC2 155
NC_023712,71341,Mycolicibacterium smegmatis MC2 155
NC_023713,52288,Mycolicibacterium smegmatis MC2 155
NC_023714,153882,Mycolicibacterium smegmatis MC2 155
NC_023715,38616,Yersinia pestis
NC_023716,53177,Mycolicibacterium smegmatis MC2 155
NC_023717,151924,Cronobacter sakazakii
NC_023719,497513,Bacillus megaterium
NC_023720,53142,Mycolicibacterium smegmatis MC2 155
NC_023721,54411,Mycolicibacterium smegmatis MC2 155
NC_023722,59231,Rhodococcus hoagii
NC_023723,53684,Mycolicibacterium smegmatis MC2 155
NC_023724,62991,Mycolicibacterium smegmatis MC2 155
NC_023725,156646,Mycolicibacterium smegmatis MC2 155
NC_023726,53597,Mycolicibacterium smegmatis MC2 155
NC_023727,68494,Mycolicibacterium smegmatis MC2 155
NC_023728,56461,Mycolicibacterium smegmatis MC2 155
NC_023729,43036,Mycolicibacterium smegmatis MC2 155
NC_023730,42594,Mycolicibacterium smegmatis MC2 155
NC_023731,53526,Mycolicibacterium smegmatis MC2 155
NC_023732,69279,Mycolicibacterium smegmatis MC2 155
NC_023733,154573,Mycolicibacterium smegmatis MC2 155
NC_023734,35725,Psychrobacter sp. MV2
NC_023735,76797,Rhodococcus hoagii
NC_023736,40411,Ralstonia solanacearum
NC_023737,155586,Mycolicibacterium smegmatis MC2 155
NC_023738,106327,Mycolicibacterium smegmatis MC2 155
NC_023739,51821,Mycolicibacterium smegmatis MC2 155
NC_023740,68311,Mycolicibacterium smegmatis MC2 155
NC_023743,47180,Escherichia coli CFT073
NC_023673,5275,Sus scrofa
NC_023674,6318,Sus scrofa
NC_023675,6639,Sus scrofa
NC_023676,9501,Spodoptera exigua
NC_023677,153158,Pan troglodytes
NC_023636,6500,Sus scrofa
NC_023637,9840,Sus scrofa
NC_023638,10220,Sus scrofa
NC_023639,1168989,Acanthamoeba polyphaga
NC_023641,15088,Lagenaria siceraria
NC_023549,56789,Clavibacter michiganensis
NC_023550,17869,Staphylococcus aureus
NC_023551,40692,Enterococcus sp.
NC_023552,47162,Mycolicibacterium smegmatis MC2 155
NC_023553,53159,Mycolicibacterium smegmatis MC2 155
NC_023554,70841,Mycolicibacterium smegmatis MC2 155
NC_023555,43017,Edwardsiella ictaluri
NC_023556,72329,Achromobacter xylosoxidans
NC_023557,271084,Erwinia amylovora
NC_023561,173276,Enterobacter cloacae
NC_023562,51236,Mycolicibacterium smegmatis MC2 155
NC_023563,68262,Mycolicibacterium smegmatis MC2 155
NC_023564,52974,Mycolicibacterium smegmatis MC2 155
NC_023565,51250,Mycolicibacterium smegmatis MC2 155
NC_023566,56024,Rhizobium gallicum
NC_023567,43766,Klebsiella
NC_023569,77837,Vibrio parahaemolyticus
NC_023570,40739,Acinetobacter baumannii
NC_023572,42240,Mycolicibacterium smegmatis MC2 155
NC_023574,128546,Lactococcus lactis
NC_023577,51797,Mycolicibacterium smegmatis MC2 155
NC_023578,69099,Mycolicibacterium smegmatis MC2 155
NC_023579,75568,Erwinia amylovora
NC_023580,57775,Mycolicibacterium smegmatis MC2 155
NC_023581,77792,Acinetobacter nosocomialis M2
NC_023582,92417,Staphylococcus epidermidis
NC_023584,170438,Synechococcus sp. WH 7803
NC_023587,189311,Synechococcus sp. WH 7803
NC_023588,33525,Stenotrophomonas maltophilia
NC_023589,71629,Shigella boydii
NC_023590,43050,Acinetobacter baumannii
NC_023591,95705,Mycobacteroides abscessus
NC_023593,76184,Escherichia coli
NC_023594,54791,Shewanella putrefaciens
NC_023597,53124,Mycolicibacterium smegmatis
NC_023599,38772,Bacillus thuringiensis
NC_023600,71058,Mycobacterium
NC_023602,50781,Mycobacterium
NC_023603,71565,Mycobacterium
NC_023604,44306,Mycolicibacterium smegmatis
NC_023605,41529,Vibrio alginolyticus
NC_023606,52963,Mycolicibacterium smegmatis
NC_023607,53396,Mycobacterium
NC_023609,46739,Mycolicibacterium smegmatis MC2 155
NC_023612,39078,Geobacillus kaustophilus
NC_023614,43153,Croceibacter atlanticus HTCC2559
NC_023627,10929,Laodelphax striatellus
NC_023628,9687,Narcissus
NC_023629,6253,Bos taurus
NC_023630,6301,Bos taurus
NC_023631,6300,Bos taurus
NC_023632,6317,Bos taurus
NC_023548,39651,Citrobacter rodentium
NC_023559,46145,Oenococcus
NC_023560,43454,Oenococcus oeni
NC_023568,246964,Vibrio harveyi
NC_023571,46243,Oenococcus oeni
NC_023573,142094,Staphylococcus aureus
NC_023575,45550,Pseudomonas aeruginosa
NC_023576,39207,Citrobacter rodentium
NC_023583,45696,Pseudomonas aeruginosa
NC_023585,48775,Saccharolobus solfataricus P2
NC_023586,8460,Ralstonia
NC_023592,8176,Haloarcula hispanica ATCC 33960
NC_023595,41687,Enterococcus faecalis
NC_023598,2563,Sclerotinia sclerotiorum
NC_023601,98287,Pseudomonas syringae pv. actinidiae ICMP 18800
NC_023608,42093,Salmonella enterica subsp. enterica serovar Enteritidis
NC_023610,218339,Erwinia amylovora
NC_023547,5075,Ustilaginoidea virens
NC_023498,62466,Mycolicibacterium smegmatis MC2 155
NC_023499,42906,Staphylococcus aureus
NC_023500,43301,Staphylococcus aureus
NC_023501,159590,Bacillus
NC_023502,109558,Rhizobium leguminosarum
NC_023503,48800,Streptococcus thermophilus DSM 20617
NC_023496,7596,Saimiri sciureus
NC_023483,10176,Antheraea pernyi
NC_023484,1359,Solanum lycopersicum
NC_023485,7435,Hibiscus rosa-sinensis
NC_023423,610033,Acanthamoeba castellanii
NC_023439,10688,Ixodes lividus
NC_023440,9023,Culex portesi
NC_023441,5552,Chaetoceros sp. SS628-11
NC_023442,120420,Biston suppressaria
NC_023443,1365,Synedrella nodiflora
NC_023424,10673,Ixodes uriae
NC_023426,245717,Anomala cuprea
NC_023427,2668,Procordulia grayi
NC_023428,2398,Procordulia grayi
NC_023429,2249,Procordulia grayi
NC_023430,2121,Procordulia grayi
NC_023431,1960,Procordulia grayi
NC_023432,1700,Procordulia grayi
NC_023433,2253,Procordulia grayi
NC_023434,1628,Procordulia grayi
NC_023435,1722,Procordulia grayi
NC_023436,2259,Xanthocnemis zealandica
NC_023420,4080,Culex nebulosus
NC_023421,1378,Anguilla anguilla
NC_023422,8305,Capra hircus
NC_023339,4767,Solanum melongena
NC_023312,2761,Solanum lycopersicum
NC_022762,33996,Lactobacillus delbrueckii
NC_022764,39874,Bacillus megaterium
NC_022775,36969,Lactobacillus
NC_023295,7315,Prunus armeniaca
NC_023296,1002,Pisum sativum
NC_023297,975,Pisum sativum
NC_023298,971,Pisum sativum
NC_023299,1008,Pisum sativum
NC_023300,1017,Pisum sativum
NC_023301,1021,Pisum sativum
NC_023302,1006,Pisum sativum
NC_023303,970,Pisum sativum
NC_023304,1017,Pisum sativum
NC_023305,1010,Pisum sativum
NC_023306,1011,Pisum sativum
NC_023307,1001,Pisum sativum
NC_023308,976,Pisum sativum
NC_023309,971,Pisum sativum
NC_023310,977,Pisum sativum
NC_023311,983,Pisum sativum
NC_023034,2760,Solanum lycopersicum
NC_023038,1365,Solanum lycopersicum
NC_023039,2997,Pyricularia oryzae
NC_023040,2880,Pyricularia oryzae
NC_023041,3558,Pyricularia oryzae
NC_023042,3254,Pyricularia oryzae
NC_023043,2874,Pyricularia oryzae
NC_023021,9554,Formica exsecta
NC_023022,9160,Formica exsecta
NC_023292,1364,Carica papaya
NC_023175,10346,Momordica charantia
NC_023178,7435,Castor canadensis
NC_023154,1002,Pisum sativum
NC_023155,983,Pisum sativum
NC_023156,988,Pisum sativum
NC_023157,985,Pisum sativum
NC_023158,988,Pisum sativum
NC_023159,993,Pisum sativum
NC_023160,978,Pisum sativum
NC_023161,979,Pisum sativum
NC_023162,7697,Cyprinus carpio
NC_022763,164297,Bacillus thuringiensis serovar kurstaki
NC_022765,49836,Bacillus pumilus
NC_022766,49246,Bacillus pumilus
NC_022767,81656,Bacillus megaterium
NC_022769,165238,Bacillus thuringiensis serovar kurstaki
NC_022770,39844,Bacillus megaterium
NC_022771,156648,Bacillus subtilis
NC_022772,156338,Salmonella enterica subsp. enterica serovar Enteritidis
NC_022773,50354,Bacillus pumilus
NC_023020,5805,Sus scrofa
NC_023023,2753,Spinacia oleracea
NC_023014,9557,Bidens pilosa
NC_023015,1348,Hedyotis uncinella
NC_023016,6080,Lamium album
NC_023017,4065,Lamium album
NC_023005,41386,Pseudomonas
NC_023006,43564,Pseudomonas
NC_023007,168876,Bacillus anthracis
NC_023008,5084,Cracticus torquatus
NC_023009,127188,Staphylococcus aureus
NC_022989,31080,Lactobacillus delbrueckii
NC_022965,52873,Mycolicibacterium smegmatis MC2 155
NC_022966,88135,Pseudomonas aeruginosa PAK
NC_022967,92495,Pseudomonas aeruginosa PAK
NC_022968,148567,Escherichia coli
NC_022969,76217,Mycolicibacterium smegmatis MC2 155
NC_022970,88097,Pseudomonas aeruginosa PAK
NC_022971,45344,Pseudomonas aeruginosa
NC_022972,37372,Arthrobacter sp.
NC_022973,50755,Mycolicibacterium smegmatis MC2 155
NC_022974,88255,Pseudomonas aeruginosa CHA
NC_022975,52390,Mycolicibacterium smegmatis MC2 155
NC_022976,75894,Mycolicibacterium smegmatis MC2 155
NC_022977,52344,Mycolicibacterium smegmatis MC2 155
NC_022978,15602,Dianthus caryophyllus
NC_022979,52823,Mycolicibacterium smegmatis MC2 155
NC_022981,76323,Mycolicibacterium smegmatis MC2 155
NC_022982,43869,Xylella fastidiosa
NC_022983,68196,Mycolicibacterium smegmatis MC2 155
NC_022984,51319,Mycolicibacterium smegmatis MC2 155
NC_022985,52122,Mycolicibacterium smegmatis MC2 155
NC_022986,93147,Pseudomonas aeruginosa PAK
NC_022987,43940,Xylella fastidiosa
NC_022988,74210,Mycolicibacterium smegmatis MC2 155
NC_022990,17276,Acanthamoeba polyphaga
NC_022918,132123,Staphylococcus
NC_022919,1127,Elettaria cardamomum
NC_022920,139738,Staphylococcus
NC_022961,8424,Allium sativum
NC_022962,1118,Olea europaea
NC_022892,7228,Homo sapiens
NC_022893,412,Prunus avium
NC_022894,7838,Diuris longifolia
NC_022895,4464,Dioscorea rotundata
NC_022896,14581,Sclerotinia sclerotiorum
NC_022897,1777,Penaeus monodon
NC_022914,43394,Staphylococcus saprophyticus
NC_022915,40471,Ralstonia solanacearum
NC_022916,41604,Burkholderia cenocepacia
NC_022917,44578,Ralstonia solanacearum
NC_022798,7598,Solanum tuberosum
NC_022799,3876,Solanum tuberosum
NC_022800,5479,Felis catus
NC_022801,6379,Anthocercis littorea
NC_022802,7807,Felis catus
NC_022787,28301,Sus scrofa
NC_022788,2020,Homo sapiens
NC_022789,2282,Homo sapiens
NC_022791,37375,Streptococcus pneumoniae
NC_022761,146193,Bacillus subtilis
NC_022776,41757,Streptococcus thermophilus
NC_022744,39860,Erwinia
NC_022745,9359,Arrhenatherum elatius
NC_022746,42957,Pseudomonas aeruginosa
NC_022747,34145,Vibrio cholerae
NC_022748,5280,Solenopsis invicta
NC_022749,39758,Shigella flexneri
NC_022750,33628,Escherichia coli O157:H7
NC_022751,42480,Leptolyngbya foveolarum
NC_022752,42665,Salmonella enterica subsp. enterica serovar Enteritidis
NC_022753,52282,Mycolicibacterium smegmatis MC2 155
NC_022754,42749,Salmonella enterica subsp. enterica serovar Enteritidis
NC_022755,10692,Eptesicus fuscus
NC_022756,40931,Lactobacillus paracasei
NC_022757,38880,Lactobacillus paracasei
NC_022758,44459,Staphylococcus
NC_022646,101818,Clostera anastomosis
NC_022647,7647,Mesocricetus auratus
NC_022633,3662,Hylaeamys megacephalus
NC_022634,2776,Hylaeamys megacephalus
NC_022635,1814,Hylaeamys megacephalus
NC_022636,1162,Hylaeamys megacephalus
NC_022637,1028,Hylaeamys megacephalus
NC_022638,809,Hylaeamys megacephalus
NC_022639,3980,Hylaeamys megacephalus
NC_022640,1977,Hylaeamys megacephalus
NC_022641,1653,Hylaeamys megacephalus
NC_022642,910,Hylaeamys megacephalus
NC_022644,2754,Manihot esculenta
NC_022645,2804,Manihot esculenta
NC_022611,9271,Halyomorpha halys
NC_022612,42940,Meleagris gallopavo
NC_022613,43686,Meleagris gallopavo
NC_022614,2013,Anethum graveolens
NC_022615,1837,Anethum graveolens
NC_022616,1936,Trifolium pratense
NC_022617,1710,Trifolium pratense
NC_022619,17486,Ceratobasidium cereale
NC_022620,2702,Odocoileus virginianus
NC_022621,1997,Odocoileus virginianus
NC_022622,1069,Odocoileus virginianus
NC_022623,1179,Odocoileus virginianus
NC_022624,1690,Odocoileus virginianus
NC_022625,811,Odocoileus virginianus
NC_022626,4034,Odocoileus virginianus
NC_022627,2855,Odocoileus virginianus
NC_022628,1682,Odocoileus virginianus
NC_022629,1925,Odocoileus virginianus
NC_022586,2786,Ipomoea batatas
NC_022595,6920,Anopheles annulipes
NC_022596,4326,Anopheles annulipes
NC_022597,812,Anopheles annulipes
NC_022580,12676,Drosophila obscura
NC_022581,11806,Anguilla anguilla
NC_022553,3952,Anopheles annulipes
NC_022554,2963,Anopheles annulipes
NC_022555,2765,Anopheles annulipes
NC_022556,1747,Anopheles annulipes
NC_022557,1125,Anopheles annulipes
NC_022558,1034,Anopheles annulipes
NC_022559,831,Anopheles annulipes
NC_022560,1978,Anopheles annulipes
NC_022561,1627,Anopheles annulipes
NC_022562,1158,Anopheles annulipes
NC_022564,4945,Gryllidae
NC_022518,9472,Homo sapiens
NC_022519,5722,Loxodonta africana
NC_022373,7616,Felis catus
NC_022365,7562,Piper nigrum
NC_022323,136910,Escherichia coli O157:H7
NC_022324,53701,Mycobacterium
NC_022325,69815,Mycobacterium
NC_022328,70236,Mycolicibacterium smegmatis MC2 155
NC_022329,53636,Mycolicibacterium smegmatis MC2 155
NC_022330,76586,Mycolicibacterium smegmatis MC2 155
NC_022331,69309,Mycolicibacterium smegmatis MC2 155
NC_022332,7539,Anguilla anguilla
NC_022334,29266,Cutibacterium acnes
NC_022335,29377,Cutibacterium acnes
NC_022336,29511,Cutibacterium acnes
NC_022337,29467,Cutibacterium acnes
NC_022338,29514,Cutibacterium acnes
NC_022340,29464,Cutibacterium acnes
NC_022341,29200,Cutibacterium acnes
NC_022342,29140,Cutibacterium acnes
NC_022233,128367,Sus scrofa
NC_022249,6795,Felis catus
NC_022250,3352,Vaccinium
NC_022251,2603,Vaccinium
NC_022252,2034,Vaccinium
NC_022253,7985,Mustela putorius furo
NC_022229,2775,Solanum lycopersicum
NC_022230,6398,Solanum lycopersicum
NC_022232,2834,Ipomoea batatas
NC_022131,2572,Cicer arietinum
NC_022127,3481,Ageratum houstonianum
NC_022128,2872,Ageratum houstonianum
NC_022129,2224,Ageratum houstonianum
NC_022098,2473870,Acanthamoeba
